company,ipo,founding
COSMO COMMUNICATIONS,19830520,1975
SYSTEMS ASSOCIATES,19830520,1966
FINANCIAL SECURITY S&L,19830523,1982
"ASTRO-MED, INC.",19830525,1971
ELECTRONIC FINANCIAL SYSTEMS,19830525,1982
"JEFFREY MARTIN, INC.",19830525,1960
"ARMEL, INC.",19830526,1974
FLORIDA FEDERAL S&L,19830526,1933
MARITEK CORPORATION,19830526,1980
SIS CORPORATION,19830526,1981
TELERAM COMMUNICATIONS,19830526,1983
COMPUTER LANGUAGE,19830527,1964
VUEBOTICS CORP.,19830531,1981
DAISY SYSTEMS,19830601,1980
UNITED FIRST FEDERAL,19830601,1934
VITALITY UNLIMITED,19830601,1971
ARTEL COMMUNICATIONS,19830602,1981
DISTRIBUTED LOGIC,19830602,1977
"ENDATA, INC.",19830602,1969
INTERAND CORPORATION,19830602,1969
MAGNETIC INFO. TECH.,19830602,1981
PRIAM CORPORATION,19830602,1978
SPECTRAN CORP.,19830602,1981
BGS SYSTEMS,19830603,1975
"DAMON BIOTECH, INC.",19830603,1973
MICROPOLIS CORP.,19830603,1976
VANZETTI SYSTEMS,19830603,1968
WESTERN WASTE INDUS.,19830603,1964
BIO-LOGIC SYSTEMS,19830607,1981
INTERSTATE UNIFORM,19830607,1950
AGENCY RENT-A-CAR,19830608,1971
AMHERST ASSOCIATES,19830608,1970
SPAN-AMERICAN MEDICAL,19830608,1970
"ACTIVISION, INC.",19830609,1971
BURLINGTON COAT,19830609,1972
"POWERTEC, INC.",19830610,1965
A.I.N. LEASING,19830613,1980
202 DATA SYSTEMS,19830614,1979
"SELECTERM, INC.",19830614,1969
EAGLE COMPUTER,19830615,1980
ENSUN CORP.,19830615,1981
"MEDAR, INC.",19830615,1978
"SHONEY'S SOUTH, INC.",19830616,1970
AMGEN,19830617,1980
TBC CORPORATION,19830617,1970
GIGA-TRONICS,19830620,1980
ERBAMONT N.V.,19830621,1853
HALE SYSTEMS,19830621,1979
HPSC INC.,19830621,1975
"CALMAR, INC.",19830622,1953
"CLAYTON HOMES, INC.",19830622,1968
GRADCO SYSTEMS INC.,19830622,1978
KENTRON INT'L,19830622,1950
KEY TRONIC CORP.,19830622,1969
QUICK & REILLY GROUP,19830622,1974
